,Cities,Population,Elevation,AQI,Latitude,Longitude,PM25,PM10,O3
84,Harbin ,5878939.0,140.0,87,45.7258,126.646,87.0,28.0,4.0
85,Cape Town,3433441.0,25.0,28,-33.913833000000004,18.425167000000002,28.0,13.0,6.0
86,San Diego ,1394928.0,20.0,17,32.710177000858394,-117.142665,68.0,40.0,6.0
87,Seattle ,684451.0,56.0,30,47.597221999999995,-122.319722,30.0,2.0,12.0
88,Rome,2318895.0,20.0,30,41.8932669,12.4753855,30.0,16.0,11.0
89,Taichung,1040725.0,91.0,63,24.099611,120.67768899999999,63.0,20.0,2.0
90,Jaipur,2711758.0,435.0,142,26.940516600000002,75.8007016,142.0,55.0,12.0
91,Kaohsiung,1519711.0,9.0,97,22.608711,120.312017,97.0,40.0,11.0
92,Minneapolis ,410939.0,253.0,9,44.9536,-93.2581,9.0,12.0,9.0
93,Lucknow,2472011.0,126.0,197,26.84578611,80.93874444,197.0,73.0,12.0
94,Tel Aviv-Yafo,432892.0,15.0,66,32.066158,34.777819,66.0,39.0,25.0
95,Kyiv ,2797553.0,187.0,19,50.443999999999996,30.54,19.0,8.0,17.0
96,Mashhad,2307177.0,1003.0,173,36.3382,59.5853,173.0,22.0,3.0
97,Izmir,2500603.0,122.0,37,38.432221999999996,27.144444,37.0,37.0,26.0
98,Rawalpindi,1743101.0,499.0,197,33.7235,73.11822,197.0,54.0,5.0
99,Tashkent,1978028.0,424.0,166,41.3672,69.2725,166.0,17.0,1.0
100,Katowice,317316.0,266.0,69,50.264611,18.975028,69.0,22.0,14.0
101,Changchun,4193073.0,206.0,109,43.816964,125.323471,109.0,26.0,4.0
102,Daegu ,2566540.0,45.0,25,35.871435399999996,128.60144499999998,25.0,21.0,1.0
103,Changsha,3093980.0,67.0,53,28.228209000000003,112.938814,53.0,46.0,8.0
104,Nagpur,2228018.0,319.0,155,21.152875,79.0517531,155.0,53.0,12.0
105,Lisbon,517802.0,45.0,7,38.748611111111,-9.1488888888889,46.0,32.0,12.0
106,Frankfurt Am Main,650000.0,113.0,11,50.126666666667006,8.748333333333301,36.0,5.0,18.0
107,Nanchang,2357839.0,20.0,73,28.683213000000002,115.858121,68.0,44.0,4.0
108,Tampa ,369075.0,1.0,19,27.928333333333,-82.454444444444,19.0,11.0,10.0
109,Dalian,4087733.0,33.0,26,38.914003,121.614682,5.0,32.0,4.0
110,Shijiazhuang,2834942.0,77.0,65,38.042307,114.51486000000001,65.0,60.0,1.0
111,Manchester,395515.0,51.0,52,53.481519999999996,-2.2378810000000002,52.0,7.0,23.0
112,Fukuoka,1392289.0,3.0,46,33.5903547,130.4017155,46.0,9.0,3.0
113,Denver ,682545.0,1609.0,25,39.751184,-104.987625,25.0,8.0,7.0
114,St. Louis ,315685.0,142.0,53,38.656449,-90.198548,53.0,10.0,7.0
115,Colombo,648034.0,1.0,38,6.913047,79.84806999999999,38.0,40.0,6.0
116,Colombo,648034.0,1.0,38,6.913047,79.84806999999999,38.0,40.0,6.0
117,Colombo,648034.0,1.0,38,6.913047,79.84806999999999,38.0,40.0,6.0
118,Colombo,648034.0,1.0,38,6.913047,79.84806999999999,38.0,40.0,6.0
119,Baltimore ,621849.0,10.0,17,39.2981,-76.604698,17.0,13.0,5.0
120,Sapporo,1883027.0,26.0,42,43.0620958,141.3543763,42.0,30.0,8.0
121,Preston,313332.0,34.0,24,53.76559,-2.6803529999999998,24.0,5.0,27.0
122,Patna,1599920.0,53.0,379,25.619651,85.147382,170.0,70.0,10.0
123,Warsaw,1702139.0,113.0,50,52.225171,21.014782999999998,50.0,50.0,5.0
124,Yokohama,3574443.0,21.0,34,35.4437078,139.6380256,13.0,28.0,2.0
125,Kunming,3855346.0,1895.0,102,24.880182,102.832861,102.0,21.0,3.0
126,Guiyang,1171633.0,1087.0,102,26.647661,106.630154,102.0,29.0,5.0
127,Zibo,3129228.0,51.0,99,36.813094,118.054868,99.0,45.0,2.0
128,Incheon,2628000.0,43.0,68,37.4562557,126.70520619999999,68.0,24.0,1.0
129,Zhengzhou,4253913.0,104.0,46,34.7466,113.625368,46.0,41.0,8.0
130,Taiyuan,3426519.0,795.0,68,37.87059,112.548879,68.0,23.0,8.0
131,Chaoyang ,410005.0,162.0,34,41.573734,120.450372,34.0,10.0,10.0
132,Brasilia,2207718.0,1136.0,30,-22.563603776999997,-47.41431403399999,30.0,60.0,14.0
133,Fuzhou ,1179720.0,14.0,68,26.074507999999998,119.296494,68.0,19.0,9.0
134,Fuzhou ,1179720.0,14.0,68,26.074507999999998,119.296494,68.0,19.0,9.0
135,Fuzhou ,1179720.0,14.0,68,26.074507999999998,119.296494,68.0,19.0,9.0
136,Fuzhou ,1179720.0,14.0,68,26.074507999999998,119.296494,68.0,19.0,9.0
137,Lanzhou,2628426.0,1521.0,107,36.061254999999996,103.834377,107.0,17.0,6.0
138,Xiamen,3531347.0,12.0,65,24.479834,118.089425,65.0,26.0,11.0
139,Zaozhuang,183665.0,79.0,58,34.810488,117.323725,55.0,46.0,1.0
140,Jilin,1881977.0,196.0,129,43.837883000000005,126.549572,129.0,30.0,5.0
141,Linyi,270669.0,69.0,104,35.104671999999994,118.356448,104.0,46.0,1.0
142,Wenzhou,865672.0,10.0,50,27.994266999999997,120.699367,50.0,19.0,4.0
143,Brisbane,2189878.0,27.0,20,-27.4774,153.028,20.0,5.0,5.0
144,Nanchong,7150000.0,287.0,134,30.837792999999998,106.110698,134.0,19.0,10.0
145,Nanning,803788.0,91.0,87,22.817239,108.366129,87.0,28.0,11.0
146,Urumqi,3029372.0,862.0,87,43.825645,87.616823,87.0,9.0,7.0
147,Yantai,719332.0,22.0,42,37.463822,121.44793500000002,42.0,28.0,4.0
148,Fuyang ,170023.0,31.0,104,30.048734999999997,119.960109,104.0,37.0,1.0
149,Fuyang ,170023.0,31.0,104,30.048734999999997,119.960109,104.0,37.0,1.0
150,Fuyang ,170023.0,31.0,104,30.048734999999997,119.960109,104.0,37.0,1.0
151,Fuyang ,170023.0,31.0,104,30.048734999999997,119.960109,104.0,37.0,1.0
152,Tangshan,3372102.0,36.0,50,39.630866999999995,118.180194,50.0,40.0,1.0
153,Hamburg,1739117.0,2.0,20,53.59235,10.053724,17.0,14.0,3.0
154,Budapest,1741041.0,75.0,24,47.508604999999996,19.027639999999998,24.0,9.0,19.0
155,Baotou,1301768.0,1020.0,68,40.657449,109.840347,68.0,2.0,13.0
156,Hefei,3310268.0,24.0,82,31.821447999999997,117.227271,82.0,46.0,2.0
157,Vienna,1691468.0,171.0,13,48.2167394444444,16.3809180555556,13.0,7.0,21.0
158,Indore,1837041.0,550.0,144,22.719444,75.870278,144.0,46.0,14.0
159,Belgrade,1273651.0,120.0,55,44.796959,20.475288,55.0,9.0,24.0
160,Suzhou ,5345961.0,10.0,31,31.298886,120.58531599999999,25.0,86.0,1.0
161,Suzhou ,5345961.0,10.0,31,31.298886,120.58531599999999,25.0,86.0,1.0
162,Suzhou ,5345961.0,10.0,31,31.298886,120.58531599999999,25.0,86.0,1.0
163,Suzhou ,5345961.0,10.0,31,31.298886,120.58531599999999,25.0,86.0,1.0
164,Suizhou,323945.0,67.0,63,31.690215999999996,113.38245800000001,63.0,35.0,7.0
165,Nanyang,251532.0,131.0,63,32.990833,112.528322,63.0,19.0,5.0
166,Ningbo,3491597.0,15.0,170,29.868336,121.54399,170.0,36.0,2.0
167,Anshan,1199275.0,55.0,65,41.108546000000004,122.994646,65.0,46.0,2.0
168,Tengzhou,105456.0,73.0,31,35.038775,117.18201499999999,25.0,28.0,8.0
169,Qiqihaer,882364.0,151.0,82,47.354348,123.918186,82.0,16.0,4.0
170,Datong,1052678.0,1054.0,76,40.076816,113.300126,76.0,18.0,8.0
171,Kobe,1528478.0,35.0,46,34.690083,135.1955112,46.0,15.0,3.0
172,Hama,460602.0,270.0,17,34.2200983,132.2201848,17.0,8.0,7.0
173,Esfahan,1547164.0,1578.0,135,32.6562118,51.670719500000004,135.0,49.0,2.0
174,Luoyang,1390581.0,149.0,80,34.618452000000005,112.45428999999999,80.0,29.0,10.0
175,Quito,1399814.0,2854.0,28,-0.22139299999999998,-78.51400500000001,5.0,16.0,4.0
176,Jinjiang,89623.0,33.0,61,24.8978,118.5972,61.0,27.0,12.0
177,Perth,1896548.0,46.0,21,56.399327,-3.434182,21.0,4.0,24.0
178,Daejeon ,1475221.0,46.0,42,36.3504119,127.38454750000001,42.0,22.0,1.0
179,Kyoto,1459640.0,50.0,22,35.01163629999999,135.7680294,17.0,12.0,3.0
180,Tangerang,1372124.0,18.0,76,-6.2367040000000005,106.79324,76.0,76.0,2.0
181,Bhopal,1599914.0,523.0,163,23.233584,77.400574,163.0,46.0,13.0
182,Coimbatore,959823.0,411.0,60,10.942451,76.978996,60.0,23.0,2.0
183,Gwangju ,1416938.0,47.0,34,35.1595454,126.85260120000001,34.0,11.0,1.0
184,Fushun,1400646.0,83.0,112,41.880872,123.95720800000001,112.0,46.0,3.0
185,Wuxi,3543719.0,10.0,65,31.490637,120.31114299999999,65.0,58.0,1.0
186,Hechuan,97575.0,222.0,139,29.999162,106.264407,139.0,19.0,9.0
187,Wujin,949018.0,9.0,50,31.810077000000003,119.97445400000001,50.0,58.0,1.0
188,Guigang,76430.0,51.0,74,23.0944,109.6014,74.0,39.0,15.0
189,Huhehaote,774477.0,1051.0,99,40.842299,111.74913799999999,99.0,1.0,12.0
190,Santa Cruz,222417.0,10.0,61,36.98401,-121.99096999999999,61.0,38.0,4.0
191,Ludhiana,1545368.0,256.0,177,30.9019147,75.80777490000001,177.0,65.0,14.0
192,Novosibirsk,1419007.0,164.0,11,55.02602099999999,82.907958,11.0,63.0,9.0
193,Neijiang,546854.0,349.0,112,29.580229,105.05843300000001,112.0,28.0,11.0
194,Weifang,394732.0,30.0,53,36.706773999999996,119.16175600000001,53.0,44.0,2.0
195,Daqing,203488.0,146.0,91,46.58931,125.103784,91.0,11.0,7.0
196,Tongzhou,95647.0,6.0,17,39.93435,116.67503,17.0,51.0,1.0
197,Tabriz,1424641.0,1396.0,130,38.079304,46.288699,130.0,17.0,8.0
198,Kochi,335570.0,58.0,25,33.548962100000004,133.59879479999998,25.0,10.0,12.0
199,Suining,124924.0,291.0,117,30.532846999999997,105.59289799999999,117.0,12.0,12.0
200,Bozhou,174140.0,40.0,50,33.8561,115.7831,50.0,46.0,3.0
201,Zhanjiang,637790.0,29.0,38,21.270702,110.35938700000001,38.0,32.0,16.0
202,Changde,517780.0,42.0,129,29.031672999999998,111.698497,129.0,26.0,11.0
203,Xintai,222459.0,197.0,70,35.897545,117.79506699999999,70.0,19.0,10.0
204,Handan,1358318.0,66.0,163,36.625603999999996,114.53908500000001,163.0,46.0,1.0
205,Kawasaki,1306785.0,1.0,53,35.5309058,139.70305109999998,53.0,30.0,2.0
206,Pingdu,91077.0,59.0,38,36.790556,119.944722,38.0,19.0,7.0
207,Agra,1430055.0,166.0,196,27.19865833,78.00598056,196.0,73.0,8.0
208,Jiangyin,107918.0,7.0,34,31.920658000000003,120.284939,34.0,58.0,1.0
209,Bursa,1412701.0,155.0,27,40.19572,29.04588,27.0,23.0,26.0
210,Dengzhou,85279.0,23.0,161,37.808611,120.7725,161.0,17.0,9.0
211,Guarulhos,1169577.0,774.0,82,-23.455534258,-46.518533403,82.0,69.0,19.0
212,Auckland,417910.0,43.0,27,-36.84742808,174.7657304,27.0,6.0,7.0
213,Shantou,5329024.0,17.0,55,23.353299,116.68183799999998,55.0,26.0,8.0
214,Thane,1261517.0,23.0,166,19.1375,72.915056,166.0,46.0,9.0
215,San Antonio ,1469845.0,198.0,15,29.423932699999998,-98.5805051,15.0,8.0,5.0
216,Xinyang,1590668.0,89.0,97,32.146984,114.09102299999999,97.0,35.0,5.0
217,Almaty,2000900.0,787.0,163,43.222,76.851,163.0,4.0,3.0
218,Changshu,1047700.0,9.0,42,31.653685999999997,120.752503,42.0,58.0,1.0
219,Laiwu,124108.0,182.0,171,36.213691,117.676731,171.0,28.0,3.0
220,Xiaoshan,95234.0,14.0,117,30.18194444,120.2697222,117.0,44.0,1.0
221,Varanasi,1164404.0,86.0,185,25.35055556,82.97833333,185.0,69.0,9.0
222,Kampala,1353189.0,1223.0,142,0.300225,32.591553000000005,142.0,100.0,4.0
223,Shiraz,1249942.0,1545.0,79,29.6092966,52.530087300000005,79.0,55.0,4.0
224,Kalyan,1262255.0,10.0,159,19.25292,73.14201899999999,159.0,46.0,11.0
225,Adana,1248988.0,41.0,91,37.0040545100691,35.344010079312504,91.0,36.0,19.0
226,Jingzhou,177878.0,39.0,59,30.335165000000003,112.239741,59.0,19.0,11.0
227,Saitama,1193350.0,16.0,42,35.8617292,139.6454822,42.0,26.0,2.0
228,Prague,1165581.0,202.0,14,50.094238,14.442048999999999,9.0,28.0,4.0
229,Meerut,1223184.0,228.0,303,29.063509999999997,77.709723,303.0,62.0,14.0
230,Yixing,95530.0,8.0,42,31.3542,119.8177,42.0,58.0,1.0
231,Mianyang,264136.0,471.0,124,31.46745,104.679114,124.0,15.0,9.0
232,Wenling,67433.0,6.0,78,28.36722222,121.38722220000001,78.0,19.0,10.0
233,Ottawa,812129.0,71.0,13,45.42152960000001,-75.69719309999999,17.0,6.0,7.0
234,Hiroshima,1143841.0,16.0,30,34.385202899999996,132.4552927,21.0,8.0,3.0
235,Chifeng,346654.0,570.0,23,42.257816999999996,118.88685600000001,9.0,8.0,7.0
236,Nashik,1289497.0,584.0,152,20.0073285,73.7762427,152.0,48.0,15.0
237,Tianshui,3500000.0,1153.0,153,34.5814,105.7281,153.0,33.0,14.0
238,Huzhou,158320.0,6.0,53,30.894347999999997,120.086823,53.0,54.0,1.0
239,Adelaide,1225235.0,56.0,24,-34.928853000000004,138.600943,1.0,8.0,7.0
240,Yuzhou,87961.0,126.0,112,29.56301,106.551557,112.0,19.0,1.0
241,Leshan,154477.0,375.0,155,29.552106,103.765568,155.0,24.0,2.0
242,Jabalpur,1030168.0,416.0,182,23.168606,79.932247,182.0,46.0,11.0
243,Jimo,70733.0,25.0,42,36.308156,120.39492,42.0,19.0,9.0
244,Dingzhou,152934.0,64.0,20,38.516168,114.990251,17.0,28.0,1.0
245,Calgary,1019942.0,1048.0,86,51.0471506,-114.07314769999999,86.0,3.0,6.0
246,Zoucheng,190537.0,76.0,42,35.411389,116.972222,42.0,28.0,7.0
247,Anqiu,105665.0,58.0,68,36.478889,119.222778,68.0,19.0,9.0
248,Chelyabinsk,1062919.0,219.0,182,55.11245,61.4248,182.0,0.0,18.0
249,Asansol,504271.0,119.0,151,23.6871984,86.94613609999999,151.0,55.0,16.0
250,Shouguang,79212.0,26.0,65,36.868333,118.73527800000001,65.0,23.0,8.0
251,Changzhou,949018.0,9.0,50,31.810077000000003,119.97445400000001,50.0,58.0,1.0
252,Ulsan,962865.0,10.0,27,35.5383773,129.3113596,25.0,19.0,2.0
253,Zhuji,110721.0,23.0,82,29.713666999999997,120.236304,82.0,28.0,1.0
254,Toluca ,489333.0,2671.0,117,19.294298341379,-99.655297086786,117.0,32.0,12.0
255,Tbilisi,1049498.0,491.0,153,41.708828999999994,44.799661,153.0,26.0,20.0
256,Faridabad,1220229.0,209.0,236,28.41012222,77.313775,236.0,87.0,7.0
257,Zigong,689961.0,306.0,178,29.339029999999998,104.778442,178.0,90.0,3.0
258,Jining ,450327.0,43.0,61,35.414921,116.587099,61.0,58.0,1.0
259,Edmonton,712391.0,668.0,0,53.5000575,-113.52604699999999,29.0,4.0,6.0
260,Dnipropetrovsk,1032822.0,100.0,23,48.458139,35.052214,23.0,14.0,15.0
261,Sendai,1063103.0,53.0,30,38.268215000000005,140.86935580000002,13.0,5.0,7.0
262,Guatemala City,994938.0,1508.0,46,14.606938699999999,-90.5169696,46.0,16.0,10.0
263,Brussels,1019022.0,28.0,34,50.8503396,4.3517103,34.0,9.0,20.0
264,Bamako,1297281.0,338.0,114,12.632524,-8.036911,114.0,77.0,5.0
265,Antananarivo,1391433.0,1274.0,55,-18.908479690552,47.537509918213,55.0,8.0,5.0
266,Mudanjiang,665915.0,242.0,89,44.551653,129.63316899999998,89.0,24.0,6.0
267,Amritsar,1092450.0,244.0,182,31.6199803,74.87648490000001,182.0,68.0,13.0
268,Haora ,1027672.0,8.0,182,22.5707053,88.3008448,182.0,66.0,10.0
269,Dublin,1024027.0,17.0,1,53.347863000000004,-6.243785,1.0,6.0,27.0
270,Kitakyushu,997536.0,57.0,-,33.8834093,130.8752161,46.0,21.0,35.0
271,Odessa,1001558.0,58.0,90,46.4846547,30.696429300000002,90.0,28.0,33.0
272,Yongchuan,94465.0,326.0,82,29.356178000000003,105.896872,82.0,19.0,9.0
273,Peshawar,1218773.0,340.0,391,34.00585,71.53775,391.0,58.0,11.0
274,Benxi,987717.0,212.0,153,41.294176,123.766485,153.0,46.0,2.0
275,Zhangqiu,114858.0,73.0,151,36.676389,117.512778,151.0,23.0,6.0
276,Yongzhou,5200000.0,113.0,109,26.420394,111.613445,109.0,46.0,7.0
277,Ghaziabad,1199191.0,214.0,256,28.685382,77.453839,256.0,73.0,9.0
278,Zhangjiagang,66039.0,13.0,42,31.8742,120.5264,42.0,58.0,2.0
279,Xianyang,1034081.0,387.0,152,34.329563,108.70900300000001,152.0,19.0,8.0
280,Liaocheng,226930.0,39.0,87,36.456703999999995,115.985371,87.0,57.0,1.0
281,Ahwaz,841145.0,23.0,183,31.318914000000003,48.670962,121.0,58.0,17.0
282,Feicheng,77606.0,115.0,59,35.2541,117.966256,59.0,19.0,9.0
283,Suwon ,1242724.0,58.0,57,37.263572700000005,127.02860090000001,57.0,24.0,1.0
284,Wuwei,493092.0,1542.0,74,37.9311,102.6219,74.0,5.0,10.0
285,Haimen,125427.0,17.0,57,23.2539,116.6092,57.0,28.0,9.0
286,Xinhui,195129.0,0.0,61,22.5328,113.024,61.0,28.0,9.0
287,Gaziantep,1065975.0,842.0,91,37.05833878898579,37.3510420617195,91.0,41.0,20.0
288,Krasnoyarsk,927200.0,140.0,4,56.025895999999996,92.860477,4.0,2.0,14.0
289,Chiba,919729.0,5.0,34,35.6072668,140.1062907,34.0,29.0,2.0
290,Yichun ,152169.0,99.0,70,27.815619,114.41677800000001,70.0,32.0,9.0
291,Yichun ,152169.0,99.0,70,27.815619,114.41677800000001,70.0,32.0,9.0
292,Yichun ,152169.0,99.0,70,27.815619,114.41677800000001,70.0,32.0,9.0
293,Yichun ,152169.0,99.0,70,27.815619,114.41677800000001,70.0,32.0,9.0
294,Seongnam,1031935.0,80.0,53,37.444916799999994,127.1388684,53.0,23.0,1.0
295,Yueyang,1200000.0,43.0,97,29.357104,113.12895800000001,97.0,43.0,7.0
296,Yiwu,89629.0,84.0,95,29.306841,120.07505800000001,95.0,28.0,1.0
297,San Jose ,335007.0,1161.0,107,37.348490000000005,-121.89493999999999,107.0,44.0,3.0
298,Jixi,403759.0,228.0,57,45.295075,130.969333,57.0,22.0,6.0
299,Guangyuan,213365.0,525.0,87,32.435435,105.84335700000001,87.0,10.0,14.0
300,Soweto,1695047.0,1632.0,56,-26.252610999999998,27.872139,56.0,9.0,5.0
301,Baoding,995652.0,17.0,72,38.873891,115.46480600000001,72.0,60.0,1.0
302,Pingdingshan,889675.0,88.0,85,33.76619,113.19281399999998,85.0,19.0,9.0
303,Torino,870456.0,239.0,59,45.104332,7.6964231,59.0,14.0,38.0
304,Laiyang,169594.0,40.0,38,36.9775,120.714722,38.0,19.0,11.0
305,Laizhou,188000.0,43.0,30,37.176667,119.940556,30.0,19.0,12.0
306,Thiruvananthapuram,784153.0,18.0,50,8.5140567,76.94774220000001,50.0,13.0,2.0
307,Weinan,172321.0,354.0,144,34.499995,109.509786,144.0,19.0,6.0
308,Xiaogan,160437.0,35.0,57,30.924568,113.916903,57.0,26.0,6.0
309,Jiaxing,4500000.0,12.0,63,30.753923999999998,120.75854299999999,63.0,61.0,2.0
310,Kozhikode,439922.0,9.0,53,11.249077,75.784371,53.0,23.0,5.0
311,Zhuzhou,709358.0,54.0,76,27.82755,113.134003,76.0,46.0,7.0
312,Hengyang,759602.0,66.0,65,26.893231,112.571997,65.0,46.0,7.0
313,Solapur,997281.0,473.0,140,17.6599188,75.9063906,140.0,52.0,14.0
314,Gwalior,882458.0,220.0,154,26.210535999999998,78.171,154.0,58.0,12.0
